Why good diet and nutrution are important,Dietary factors are the single most significant risk factor for disability and premature death Despite the wealth of knowledge linking food and health nutrition receives little attention in medical practice The reason stems from the severe deficiency of nutrition education in medical training ,,,,,
Lowering total fat intake cause weight loss,In a study researchers found lowering total fat intake leads to sustained reductions in body weight in adults and children over the duration of six months to over eight years ,,,,,
Supplements are not food substitues but do have benefits,Supplements aren't intended to be food substitutes but older adults and others may benefit from specific supplements ,,,,,
Yoga has many mental and physical benefits,Yoga provides a retreat from their chaotic and busy lives Yoga also provides many other mental and physical benefits These benefits also extend to your eating and cooking habits,,,,,
Make your meals whole grain and full of fiber,For good daily nutrition try to make your meals with more whole grain low sodium low sugar fiber rich and low calorie ,,,,,
Kraft Singles have been labelled Kids Eat Right,Kraft Singles is the first food to receive the new Kids Eat Right label -a stamp of approval designed by the Academy of Nutrition and Dietetics to help families make healthier decisions in the grocery store Kraft is well known as a sponsor of AND its competitor Nestle wrote ,,,,,
Lack of Vitamin D has been associated with many cancer heart disease and even the common cold,Nearly half the world's population suffers from vitamin D deficiency lack of vitamin D has been associated with cancer heart disease diabetes multiple sclerosis tuberculosis and even depression not to mention brittle bones and the common cold ,,,,,
Can Coffee be part of a healthy lifestyle,Coffee doesn't deserve its dark history and moderate consumption may be incorporated into a healthy lifestyle The bean-like seeds inside the coffee plant's red and purple berries can reduce the risk of type 2 diabetes by 36 percent with protective effects against liver and endometrial cancers,,,,,
People who eat Vegetarian diet have a 22% lower risk of colorectal cancer,Researchers analyzed the dietary habits of more than 70000 people Those who ate a vegetarian diet had a 22% lower risk of colorectal cancer Among those who ate a vegetarian diet that included fish the reduction in risk was even greater 43%,,,,,
Exercise and weight loss the importance of resting energy expenditure,Regular exercise boosts your resting energy expenditure the rate at which you burn calories when the workout is over and you are resting This benefit of burning extra energy while resting only remains elevated as long as you exercise at least three days a week on a regular basis,,,,,
Fibre consumption significantly aids weight loss,Increasing fiber consumption significantly aids weight loss and lowers blood pressure enhances insulin resistance and fasting insulin,,,,,
Tips to start your own organic garden,Grow your own fruits and vegetables Almost all of us probably in grade school planted a seed in a cup of dirt watered it and watched it grow  What distinguishes an organic garden from any other is the absence of synthetic fertilizers and pesticides Synthetic chemical pesticides come from petroleum and other chemical sources while most organic pesticides are derived from plant animal microorganism and mineral sources  ,,,,,
Understanding food labels makes it easier for you to make the right food choices,Know what you are eating Understanding food labels make it easier for consumers to make quick informed food choices that contribute to a healthy diet ,,,,,
Refrigerator Thermometers Cold Facts about Food Safety,One of the most effective tools in protecting yourself and your family from food borne illnesses is your refrigerator At room temperature the numbers of bacteria that cause food borne sickness can double every 20 minutes Chilling foods to proper temperatures is one of the best ways to slow the growth of these bacteria,,,,,
Low carb diets are more effective than low fat diets,Mediterranean and low-carbohydrate diets may be a more effective alternatives to low-fat diets Low carbohydrate diets have favorable effects on lipids and a Mediterranean diet positively impacts the Glycemic control thereby suggesting that personal preferences and metabolic considerations might help in a better individualized tailoring of what you eat  ,,,,,
Long-term weight loss maintenance,Approximately 20% of overweight individuals are successful at losing at least 10% of initial body weight and maintaining the loss for at least 1 yr,,,,,
Are milk and cheese good for you,Research has shown that it is no longer necessary to have Milk and dairy products in our diet It is better to consume a healthy diet of grains fruits vegetables legumes and fortified foods including cereals and juices These nutrient-dense foods can help you meet your calcium potassium riboflavin and vitamin D requirements with ease and without facing the health risks associated with dairy product consumption ,,,,,
Stay consistent with meal frequency,It is beneficial to stay consistent with a given meal frequency throughout the week An irregular eating pattern can have negative metabolic effects at least in the absence of exercise ,,,,,
Gaining weight See if any of these factorys maybe affecting you,Studies suggest that a number psychological factors such as having unrealistic weight goals poor coping or problem-solving skills and low self-efficacy may have an important effect on the behaviors involved in weight maintenance and relapse in obesity however further research in this area is needed ,,,,,
The importance of habits in eating behaviour,Studies investigating the behavioral and psycho-social determinants of food choice show that habit is one of the most powerful predictors of eating behavior Research also shows that habitual behavior is fundamentally different from non-habitual behavior when behavior is habitual people require little information to make decisions Intentions are poor predictors of behavior and behavior is triggered by the situation one is in ,,,,,
Relation between changes in intakes of dietary fiber and grain products and changes in weight and development of obesity among middle-aged women,Weight gain is inversely related with the intake of high-fiber whole-grain foods but positively related to the intake of refined-grain foods As we already know consuming more whole-grains will help and aid in weight control ,,,,,
Why stress causes people to overeat,If you are stressed the adrenal glands release a hormone called cortisol and cortisol increases appetite and may also ramp up motivation in general including the motivation to eat Once a stressful episode is over cortisol levels should fall but if the stress doesn’t go away or if a person’s stress response gets stuck in the on position cortisol may stay elevated ,,,,,
Dietary Guidelines,It is important to reduce your daily sodium intake mostly consumed as salt to less than 2300 milligrams mg A further reduction to 1500 mg is recommended for persons who are 51  older those of any age who are African American or have hypertension diabetes or chronic kidney disease The 1500 mg recommendation applies to about half of the US population including children and the majority of adults 1500 mg is equal to 3/4 teaspoon and 2300 mg equal to 1 teaspoon,,,,,
Going Gluten Free just because Here is all you need to know,Taking a gluten-free multivitamin and multi-mineral supplement is a good idea for anyone trying to avoid gluten  If you are opting to go gluten-free for non-medical reasons it's important to know that it can set you up for some nutritional deficiencies Fortified breads and cereals have become a major source of B vitamins in the United States Although breads made with white rice tapioca and other gluten-free flours are becoming more common they are generally not fortified with vitamins This can be a problem for anyone but it's especially worrisome for women who are pregnant or may become pregnant They need vitamin B9 more commonly known as folate or folic acid to prevent birth defects,,,,,
Increasing Aerobic Exercise is Important to Prevent Blood Pressure,An increase in aerobic physical activity should be considered an important component of lifestyle modification for prevention and treatment of high blood pressure Aerobic exercise helps reduce high blood pressure,,,,,
Vitamin D Deficiency  An Important Common and Easily Treatable Cardiovascular Risk Factor,New research indicates that vitamin D deficiency is much more prevalent than previously thought and is present in up to 50% of young adults and children Vitamin D Deficiency is also a common yet easily treatable cardiovascular risk  Our modern and increasingly indoor lifestyles don't allow the body to produce enough vitamin D Efforts to minimize sun exposure by using sunscreens and other sun avoidance strategies also affect the vitamin D in the body A daily dose of vitamin D3 up to 2000 IU has been deemed by the US Food and Drug Administration's nutritional guidelines as safe,,,,,
